###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/z/Analysis/cluster/ld/COP.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 3
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 1
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 0.39870349891143086 0.40097869337135195 0.32014806286281866
# Mean: 0.39870349891143086 0.40097869337135195 0.32014806286281866
# Covariance Matrix: [
#  [ 0.00002642, 0.00000843, 0.00000099 ]
#  [ 0.00000843, 0.00000705, 0.00000123 ]
#  [ 0.00000099, 0.00000123, 0.00003700 ]
# ]
ID=1 0.3962167689161554 0.40261407398762983 0.31213983864771416 t01_SEC_0
ID=2 0.3962167689161554 0.40261407398762983 0.31213983864771416 t01_SEC_30
ID=3 0.4026073619631902 0.40261407398762983 0.3267336389349459 t01_SEC_60
ID=4 0.4026073619631902 0.40261407398762983 0.33215903371917466 t01_SEC_90
ID=7 0.3962167689161554 0.40260509177027826 0.32062181199902845 t01_SEC_180
ID=8 0.3962167689161554 0.40260509177027826 0.31574415155719276 t01_SEC_210
ID=9 0.4026073619631902 0.40260509177027826 0.3109601492608716 t01_SEC_240
ID=10 0.4026073619631902 0.40260509177027826 0.3231175952217762 t01_SEC_270
ID=15 0.39643211100099107 0.396779087408099 0.30997857501025666 t01_SEC_420
ID=17 0.3902378592666006 0.396779087408099 0.33009615844615603 t01_SEC_480
ID=16 0.3902378592666006 0.396779087408099 0.3276042161238249 t01_SEC_450
ID=19 0.3902378592666006 0.396779087408099 0.31805425631431244 t02_SEC_0
ID=18 0.3902378592666006 0.396779087408099 0.3168685927306617 t01_SEC_510
ID=21 0.39643211100099107 0.40261407398762983 0.3203491341287897 t02_SEC_60
ID=20 0.39643211100099107 0.40261407398762983 0.3227315247895229 t02_SEC_30
ID=23 0.4026073619631902 0.40261407398762983 0.32514961594646813 t02_SEC_120
ID=22 0.4026073619631902 0.40261407398762983 0.32142529157865735 t02_SEC_90
ID=31 0.40899795501022496 0.40260509177027826 0.3157249893972951 t02_SEC_360
ID=30 0.40899795501022496 0.40260509177027826 0.32801331636150005 t02_SEC_330
ID=37 0.4026073619631902 0.4026108704935033 0.32249273255813954 t03_SEC_0
ID=46 0.39632611977856064 0.4026108704935033 0.3278056305437717 t03_SEC_270
ID=47 0.39632611977856064 0.4026108704935033 0.32163466086462966 t03_SEC_300
ID=44 0.40261701056869653 0.4026108704935033 0.31916369859845506 t03_SEC_210
ID=45 0.40261701056869653 0.4026108704935033 0.3278056305437717 t03_SEC_240
ID=51 0.40261701056869653 0.4026108704935033 0.31930610494209594 t03_SEC_420
ID=50 0.40261701056869653 0.4026108704935033 0.3110636519801291 t03_SEC_390
ID=49 0.39632611977856064 0.3965107057890563 0.31570639305445936 t03_SEC_360
ID=48 0.39632611977856064 0.3965107057890563 0.3181084417434242 t03_SEC_330
###############################################################
