###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/z/Analysis/cluster/ld/CH_WTD.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 3
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 1
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 7.125227224269122 7.381879320456204 7.257997808700631
# Mean: 7.125227224269122 7.381879320456204 7.257997808700631
# Covariance Matrix: [
#  [  0.00927000, -0.00247931,  0.00000428 ]
#  [ -0.00247931,  0.02121687, -0.00484240 ]
#  [  0.00000428, -0.00484240,  0.02997385 ]
# ]
ID=1 7.099999999999994 7.5 7.200000000000003 t01_SEC_0
ID=2 7.099999999999994 7.299999999999997 7.200000000000003 t01_SEC_30
ID=3 7.0 7.5 7.100000000000001 t01_SEC_60
ID=4 7.0 7.5 7.199999999999996 t01_SEC_90
ID=9 7.099999999999994 7.5 7.200000000000003 t01_SEC_240
ID=10 7.099999999999994 7.5 7.100000000000001 t01_SEC_270
ID=11 7.299999999999997 7.700000000000003 7.100000000000001 t01_SEC_300
ID=12 7.299999999999997 7.700000000000003 7.199999999999996 t01_SEC_330
ID=15 7.0 7.400000000000006 7.200000000000003 t01_SEC_420
ID=17 7.099999999999994 7.400000000000006 7.399999999999999 t01_SEC_480
ID=16 7.099999999999994 7.400000000000006 7.400000000000006 t01_SEC_450
ID=21 7.0 7.600000000000001 7.400000000000006 t02_SEC_60
ID=20 7.0 7.600000000000001 7.200000000000003 t02_SEC_30
ID=25 7.099999999999994 7.399999999999999 7.600000000000001 t02_SEC_180
ID=24 7.099999999999994 7.399999999999999 7.600000000000001 t02_SEC_150
ID=31 7.200000000000003 7.300000000000004 6.899999999999999 t02_SEC_360
ID=30 7.200000000000003 7.300000000000004 6.900000000000006 t02_SEC_330
ID=34 7.099999999999994 7.400000000000006 7.200000000000003 t02_SEC_450
ID=35 7.099999999999994 7.400000000000006 7.200000000000003 t02_SEC_480
ID=32 7.099999999999994 7.300000000000004 7.299999999999997 t02_SEC_390
ID=33 7.099999999999994 7.300000000000004 7.100000000000001 t02_SEC_420
ID=38 7.0 7.200000000000003 7.5 t03_SEC_30
ID=40 7.200000000000003 7.299999999999997 7.5 t03_SEC_90
ID=41 7.200000000000003 7.299999999999997 7.5 t03_SEC_120
ID=46 7.299999999999997 7.209999999999994 7.399999999999999 t03_SEC_270
ID=47 7.299999999999997 7.209999999999994 7.200000000000003 t03_SEC_300
ID=44 7.200000000000003 7.209999999999994 7.5 t03_SEC_210
ID=45 7.200000000000003 7.209999999999994 7.399999999999999 t03_SEC_240
ID=51 7.200000000000003 7.299999999999997 7.299999999999997 t03_SEC_420
ID=50 7.200000000000003 7.299999999999997 7.399999999999999 t03_SEC_390
ID=49 7.099999999999994 7.200000000000003 7.399999999999999 t03_SEC_360
ID=48 7.099999999999994 7.200000000000003 7.200000000000003 t03_SEC_330
ID=52 7.200000000000003 7.209999999999994 7.100000000000001 t03_SEC_450
###############################################################
