###############################################################
# Settings:
# de.lmu.ifi.dbs.elki.workflow.InputStep
# -db StaticArrayDatabase
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -dbc FileBasedDatabaseConnection
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.in /Users/BOX/Desktop/OS/proj/z/Analysis/cluster/hd/COP.csv
# -dbc.parser DoubleVectorLabelParser
# 
# de.lmu.ifi.dbs.elki.datasource.parser.DoubleVectorLabelParser
# -parser.colsep \s+
# -parser.quote "
# -parser.labelIndices [unset]
# 
# de.lmu.ifi.dbs.elki.datasource.FileBasedDatabaseConnection
# -dbc.filter [unset]
# 
# de.lmu.ifi.dbs.elki.database.StaticArrayDatabase
# -db.index [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.AlgorithmStep
# -algorithm clustering.EM
# 
# de.lmu.ifi.dbs.elki.algorithm.clustering.EM
# -em.k 3
# -em.delta 0.0
# -em.seed [unset]
# 
# de.lmu.ifi.dbs.elki.workflow.EvaluationStep
# -evaluator [unset]
###############################################################
# Cluster: Cluster 2
# Serialization class: de.lmu.ifi.dbs.elki.data.model.EMModel
# Cluster Mean: 0.4031655677341731 0.32235780066929964
# Mean: 0.4031655677341731 0.32235780066929964
# Covariance Matrix: [
#  [ 0.00002083, 0.00000115 ]
#  [ 0.00000115, 0.00004861 ]
# ]
ID=275 0.40261701056869653 0.31930610494209594 t03_SEC_1860
ID=273 0.40261701056869653 0.32636458234793303 t03_SEC_1800
ID=2 0.4081407534057691 0.3317821440882454 t01_SEC_30
ID=272 0.40261701056869653 0.33161026041158687 t03_SEC_1770
ID=5 0.39710992223264024 0.32002104247950547 t01_SEC_120
ID=277 0.40261701056869653 0.31930610494209594 t03_SEC_1920
ID=282 0.40261701056869653 0.3286601961690546 t03_SEC_2070
ID=9 0.4026227999539859 0.3236541003783562 t01_SEC_240
ID=11 0.4026227999539859 0.3274087932647334 t01_SEC_300
ID=12 0.4026227999539859 0.319095591922323 t01_SEC_330
ID=285 0.40261701056869653 0.3208020050125313 t03_SEC_2160
ID=284 0.40261701056869653 0.33691303432301534 t03_SEC_2130
ID=258 0.40261701056869653 0.33348491738669095 t03_SEC_1350
ID=256 0.40261701056869653 0.3426759410801964 t03_SEC_1290
ID=257 0.40261701056869653 0.33893082729933754 t03_SEC_1320
ID=262 0.40261701056869653 0.32928687275765467 t03_SEC_1470
ID=21 0.40262003485367465 0.32043730267188164 t01_SEC_600
ID=23 0.40862928910522206 0.32285632893362454 t01_SEC_660
ID=22 0.40862928910522206 0.32163466086462966 t01_SEC_630
ID=25 0.40862928910522206 0.319095591922323 t01_SEC_720
ID=24 0.40862928910522206 0.32285632893362454 t01_SEC_690
