0 174.08 66.50 150.23 155.30 161.76 170.39 190.35 186.83 175.43 66.98 151.32 156.43 162.93 171.62 191.73 188.17 176.77 67.46 152.40 157.55 164.10 172.85 193.10 189.51
10 174.11 66.51 150.25 155.33 161.78 170.41 190.38 186.86 175.44 66.98 151.33 156.44 162.95 171.64 191.75 188.19 176.79 67.47 152.42 157.57 164.12 172.87 193.13 189.53
20 174.14 66.52 150.27 155.35 161.81 170.44 190.41 186.89 175.48 66.99 151.36 156.48 162.98 171.67 191.79 188.23 176.83 67.48 152.44 157.59 164.14 172.90 193.15 189.56
30 174.16 66.52 150.29 155.36 161.82 170.46 190.43 186.90 175.50 67.00 151.38 156.49 163.00 171.69 191.81 188.25 176.85 67.49 152.46 157.61 164.17 172.92 193.18 189.59
40 174.17 66.53 150.30 155.38 161.84 170.47 190.45 186.92 175.52 67.01 151.39 156.51 163.01 171.71 191.82 188.26 176.87 67.49 152.48 157.63 164.18 172.94 193.20 189.61
50 174.21 66.54 150.33 155.41 161.87 170.50 190.48 186.95 175.55 67.02 151.41 156.53 163.04 171.73 191.85 188.29 176.90 67.50 152.50 157.65 164.20 172.96 193.23 189.64
60 174.23 66.55 150.35 155.43 161.89 170.52 190.50 186.98 175.57 67.03 151.43 156.55 163.06 171.76 191.88 188.32 176.93 67.51 152.52 157.67 164.22 172.98 193.25 189.65
70 174.25 66.56 150.37 155.45 161.91 170.55 190.53 187.00 175.60 67.04 151.46 156.57 163.08 171.78 191.91 188.35 176.95 67.52 152.55 157.70 164.26 173.02 193.29 189.69
80 174.27 66.57 150.38 155.46 161.93 170.56 190.55 187.02 175.62 67.05 151.47 156.59 163.10 171.80 191.93 188.36 176.97 67.53 152.56 157.72 164.27 173.03 193.31 189.71
90 174.30 66.57 150.40 155.49 161.95 170.59 190.58 187.05 175.64 67.06 151.49 156.61 163.12 171.82 191.96 188.39 177.00 67.54 152.59 157.74 164.30 173.06 193.33 189.74
100 174.32 66.58 150.42 155.50 161.97 170.61 190.60 187.07 175.66 67.07 151.51 156.63 163.14 171.84 191.97 188.41 177.01 67.55 152.60 157.75 164.31 173.08 193.35 189.76
110 174.35 66.59 150.44 155.53 161.99 170.63 190.63 187.10 175.69 67.07 151.53 156.65 163.17 171.87 192.01 188.44 177.04 67.55 152.62 157.78 164.33 173.10 193.38 189.78
120 174.36 66.60 150.46 155.54 162.01 170.65 190.64 187.11 175.72 67.08 151.55 156.67 163.19 171.89 192.03 188.46 177.07 67.56 152.64 157.80 164.36 173.13 193.41 189.81
130 174.39 66.61 150.48 155.56 162.03 170.67 190.67 187.14 175.74 67.09 151.57 156.69 163.21 171.91 192.06 188.49 177.09 67.57 152.66 157.82 164.38 173.15 193.43 189.84
140 174.42 66.62 150.50 155.59 162.06 170.70 190.70 187.17 175.76 67.10 151.59 156.71 163.22 171.93 192.08 188.51 177.12 67.58 152.68 157.84 164.40 173.17 193.46 189.86
150 174.45 66.63 150.52 155.61 162.08 170.72 190.73 187.19 175.79 67.11 151.61 156.73 163.25 171.96 192.10 188.53 177.14 67.59 152.70 157.86 164.42 173.19 193.48 189.89
160 174.47 66.63 150.54 155.62 162.09 170.74 190.75 187.21 175.80 67.12 151.62 156.74 163.26 171.96 192.11 188.54 177.16 67.60 152.72 157.88 164.44 173.21 193.50 189.91
